# [h]	[gCOD]	[gCOD/L]
# Time	Liquid COD	Liquid COD conc	Total COD	Total COD conc	COD Content only Inert (Lignin)	COD concentration only Inert (Lignin)
0.2	43.292250419838	1.2548478382562	6253.1657991171	181.25118258311	6100.4102306688	176.82348494692
0.3939181716763	42.961323880883	1.2452557646633	6276.1972656816	181.9187613241	6100.4290480196	176.82403037738
0.66540361202311	42.143711654073	1.2215568595383	6308.0288642676	182.84141635558	6100.4760565352	176.82539294305
0.79401985657861	41.609524856429	1.2060731842443	6322.9383252736	183.27357464561	6100.5060754979	176.82626305791
0.97408259895631	40.705824347673	1.1798789665992	6343.629472904	183.87331805519	6100.5570691524	176.82774113485
1.2261704382851	38.709672357959	1.1220194886365	6341.7115626772	183.81772645441	6100.6351085776	176.83000314718
1.5790934133454	35.419599440179	1.0266550562371	6338.5131059839	183.72501756475	6100.7440336778	176.83316039646
2.0731855784298	30.094936437743	0.87231699819545	6333.2471147996	183.57238013912	6100.8958839745	176.83756185433
2.7649146095479	22.057329351444	0.63934287975201	6324.9759355377	183.33263581269	6101.1072068822	176.84368715601
3.4547281678275	15.459684777775	0.44810680515291	6317.8737938749	183.12677663406	6101.3165022485	176.84975368836
4.3309554431579	10.127562043102	0.29355252298847	6311.801497646	182.95076804771	6101.5802847623	176.85739955833
5.3309554431579	6.7847523618278	0.19665948874863	6307.6063037848	182.82916822565	6101.8785156566	176.86604393207
6.3309554431579	5.0291379908038	0.14577211567547	6305.0058516675	182.75379280196	6102.173779152	176.87460229426
7.3309554431579	4.1042706144027	0.11896436563486	6303.2438856157	182.70272132219	6102.4661047886	176.88307550112
8.3309554431579	3.6143483084375	0.10476371908515	6301.9245248942	182.66447898244	6102.7555217975	176.89146439993
9.3309554431579	3.3521483382981	0.09716371995067	6300.8404711602	182.63305713508	6103.0420591195	176.89976982955
10	3.2460556749727	0.094088570289063	6300.1887150377	182.61416565327	6103.2321739607	176.90528040466
