# Time [h]	Methane [NL]	Carbondioxide [NL]	Sum [NL]
0.2	7.8234781448355	0.092154347555272	7.9156324923908
0.3939181716763	8.0779175532697	0.1201994076791	8.1981169609488
0.66540361202311	9.2803769356626	0.15736553955175	9.4377424752143
0.79401985657861	9.9508661250085	0.17612775995682	10.126993884965
0.97408259895631	10.957697875306	0.20530575009042	11.163003625397
1.2261704382851	12.464042363603	0.24807333105475	12.712115694658
1.5790934133454	14.694836245725	0.31520647765797	15.010042723383
2.0731855784298	17.814558189508	0.4170254804238	18.231583669932
2.7649146095479	21.168345276501	0.54013103212496	21.708476308626
3.4547281678275	23.338262310437	0.62770899317683	23.965971303613
4.3309554431579	24.970955914258	0.69946498077547	25.670420895033
5.3309554431579	26.071015993847	0.75197769348684	26.822993687334
6.3309554431579	26.776031901711	0.78837749681821	27.56440939853
7.3309554431579	27.273571757174	0.81610812272414	28.089679879898
8.3309554431579	27.661982336287	0.8393471353856	28.501329471673
9.3309554431579	27.992762133484	0.86041075411806	28.853172887602
10	28.191201247583	0.87368602392159	29.064887271505
