# Time [h]	Methane [vol%]	Carbondioxide [vol%]
0.2	0.98835793000195	0.011642069998052
0.3939181716763	0.98533816872196	0.014661831278043
0.66540361202311	0.98332593414527	0.016674065854734
0.79401985657861	0.98260809061825	0.017391909381747
0.97408259895631	0.98160837737047	0.018391622629535
1.2261704382851	0.98048528372354	0.019514716276457
1.5790934133454	0.97900029443841	0.020999705561593
2.0731855784298	0.97712620647917	0.022873793520832
2.7649146095479	0.97511888791981	0.024881112080185
3.4547281678275	0.97380832242413	0.026191677575871
4.3309554431579	0.97275210314488	0.027247896855123
5.3309554431579	0.9719651839667	0.028034816033302
6.3309554431579	0.97139871616984	0.028601283830165
7.3309554431579	0.97094633594211	0.029053664057887
8.3309554431579	0.97055059707935	0.029449402920654
9.3309554431579	0.97017968327193	0.02982031672807
10	0.96994015439454	0.030059845605462
