# [h]	[kPa]
# Time	Methane	Carbondioxide	Sum	
0.2	151.23772901789	1.7814597831159	153.019188801
0.3939181716763	116.60475522198	1.9851758881072	118.58993111009
0.66540361202311	110.75503944004	2.2800093140547	113.0350487541
0.79401985657861	110.96297497819	2.4225258139957	113.38550079218
0.97408259895631	111.81366021007	2.6272221300579	114.44088234013
1.2261704382851	113.01649428011	2.8273652591561	115.84385953927
1.5790934133454	114.19382678709	3.0873830661807	117.28120985327
2.0731855784298	114.26375435293	3.394881123008	117.65863547594
2.7649146095479	109.54837515677	3.6344681687687	113.18284332554
3.4547281678275	103.50732519212	3.7303815343542	107.23770672648
4.3309554431579	98.418996544768	3.8159015030039	102.23489804777
5.3309554431579	95.217014522031	3.9240613223206	99.141075844351
6.3309554431579	93.473893428724	4.0455589743806	97.519452403104
7.3309554431579	92.489155981868	4.1770715304719	96.66622751234
8.3309554431579	91.900737263021	4.316558335041	96.217295598062
9.3309554431579	91.517986741061	4.4629271288981	95.980913869959
10	91.286452519129	4.5635918516838	95.850044370813
