# Time [h]	Lignin [1]	Methane [1]	Methane_gas [1]	Substrate [1]	Carbondioxide [1]	Carbondioxide_gas [1]	MO_acetoM [1]	Acetic [1]	Phi [1]
0.2	1.3050439149424	0.083332623043145	0.93774484592662	0.0059123399208146	0.9708501839533	0.030307322168185	0.020847926557553	0.0015131706170175	0.90888294799111
0.3939181716763	1.2975445498918	0.10093928108318	0.72300416655302	0.011566730099133	1.064498856868	0.033773069575639	0.020785212006397	0.0013825469830013	0.90838236934603
0.66540361202311	1.2872126980135	0.12253035766166	0.68673318536155	0.019356331125155	1.1949443106524	0.038788962558927	0.020698162526803	0.0012026547252773	0.90768281569384
0.79401985657861	1.2823846436742	0.13148069594223	0.68802248321366	0.022996260856627	1.2561431775859	0.041213543522769	0.020657181114366	0.001118742413015	0.90735191431297
0.97408259895631	1.2756963328814	0.14259722148195	0.69329713059749	0.028038652042947	1.3408895834669	0.044695966901808	0.020599946190441	0.0010030343835798	0.90688921775484
1.2261704382851	1.2756932261446	0.15543100607813	0.70075526592532	0.027967633206249	1.456973042874	0.048100928580324	0.020669133013053	0.00082334156095155	0.90688839853149
1.5790934133454	1.2756942333204	0.16810954680784	0.70805527960263	0.027868627549932	1.6119398401136	0.052524516203039	0.020761596831246	0.00058294599119967	0.90688758962047
2.0731855784298	1.2757166106091	0.1741910693741	0.70848886330483	0.027731067213746	1.8011702802503	0.057755867908356	0.020874396404587	0.00028891689610179	0.90688777507394
2.7649146095479	1.2758435091465	0.1495142450127	0.67925130091544	0.027541693634433	1.9446303396512	0.061831874480053	0.020957897454273	6.7946788234371e-05	0.90689402807829
3.4547281678275	1.2760522138898	0.11016521700812	0.64179395806111	0.027355898611882	1.9842892705014	0.06346361340483	0.020976916390548	1.2254124828298e-05	0.9069054161126
4.3309554431579	1.2763470486996	0.072751571441192	0.61024393417208	0.02712234181301	1.9970564817598	0.064918533277983	0.02097656126702	4.1903871595455e-06	0.90692175311925
5.3309554431579	1.2766852498035	0.048557984278846	0.59039014399637	0.026858277033034	2.0078158350858	0.066758616630272	0.020972533627016	3.9949815804268e-06	0.90694051930689
6.3309554431579	1.2770205142895	0.035841440160373	0.5795819757457	0.026596733173213	2.0195753298118	0.068825611641084	0.020968326261698	3.9600174925945e-06	0.90695911651027
7.3309554431579	1.2773527875126	0.029144947113706	0.5734761417625	0.026337685455455	2.0318871586095	0.071062986542496	0.020964003322525	3.9240990625603e-06	0.90697754131988
8.3309554431579	1.2776820973562	0.025600161132431	0.5698276697547	0.02608111105231	2.0444384128751	0.073436024409729	0.02095956547187	3.8886357358939e-06	0.90699579548594
9.3309554431579	1.2780084707357	0.023705475993024	0.56745443701988	0.025826987310754	2.0570556407067	0.075926143037631	0.020955013931208	3.8535761471204e-06	0.90701388069526
10	1.2782252046981	0.022940211990839	0.56601881626121	0.025658322754955	2.0654773746595	0.077638715060504	0.020951905940266	3.8303336326723e-06	0.90702588709943
