# Time [h]	Lignin [g]	Methane [g]	Methane_gas [g]	Methane_sum [g]	Substrate [g]	Carbondioxide [g]	Carbondioxide_gas [g]	Carbondioxide_sum [g]	MO_acetoM [g]	Acetic [g]
0.2	3910.5193786338	2.8749754949885	3.2352197184469	6.1101952134354	17.716124008314	33.494331346389	0.10456026148024	33.598891607869	62.470097652799	47.451266328185
0.3939181716763	3910.5314410382	3.4824051973696	2.4943643746079	5.9767695719775	34.859736975067	36.725210561946	0.11651709003595	36.841727651982	62.642338612908	43.330900136425
0.66540361202311	3910.561574702	4.2272973393273	2.3692294894974	6.5965268288246	58.804675281759	41.225578717507	0.1338219208283	41.359400638335	62.881168876881	37.663466114572
0.79401985657861	3910.5808176269	4.5360840100069	2.3736775670871	6.909761577094	70.12618018055	43.336939626714	0.14218672515355	43.479126351868	62.993249810471	35.022669875227
0.97408259895631	3910.6135058669	4.9196041411273	2.3918751005614	7.3114792416886	85.951749283301	46.260690629609	0.15420108581124	46.41489171542	63.148592432269	31.38419072114
1.2261704382851	3910.6635311395	5.3623697096956	2.4176056674424	7.779975377138	85.73534842895	50.265569979153	0.16594820360212	50.431518182756	63.361647642123	25.761482864443
1.5790934133454	3910.7333549217	5.7997793648704	2.4427907146291	8.2425700794995	85.433302486389	55.611924483919	0.18120958090049	55.79313406482	63.646183473023	18.239525344324
2.0731855784298	3910.8306948555	6.0095918934066	2.4442865784017	8.4538784718083	85.012226037282	62.140374668634	0.19925774428383	62.339632412918	63.992449041376	9.0396550210694
2.7649146095479	3910.9661582578	5.158241452938	2.3434169881583	7.5016584410963	84.426209776644	67.089746717967	0.21331996695618	67.303066684923	64.244264366505	2.1259157308841
3.4547281678275	3911.1003219542	3.8006999867802	2.2141891553108	6.014889142091	83.845835384847	68.457979832298	0.21894946624666	68.676929298545	64.294253444836	0.38341019500703
4.3309554431579	3911.2694133092	2.5099292147211	2.1053415728937	4.6152707876148	83.114373993046	68.898448620711	0.22396893980904	69.122417560521	64.281092328056	0.13111221525047
5.3309554431579	3911.4605869593	1.6752504576202	2.0368459967875	3.7120964544077	82.287386076181	69.269646310459	0.23031722737444	69.499963537833	64.254865248405	0.12500079305528
6.3309554431579	3911.6498584308	1.2365296855329	1.9995578163227	3.2360875018555	81.468626688116	69.675348878507	0.23744836016174	69.912797238669	64.228216802559	0.12390932637663
7.3309554431579	3911.8372466593	1.0055006754229	1.9784926890806	2.9839933645035	80.658013950927	70.100106972029	0.24516730357161	70.3452742756	64.201346595752	0.12278792941975
8.3309554431579	3912.022770383	0.88320555906888	1.9659054606537	2.8491110197226	79.85546680559	70.53312524419	0.25335428421357	70.786479528404	64.174255515478	0.1216807047194
9.3309554431579	3912.2064481535	0.81783892175933	1.9577178077186	2.7755567294779	79.060904999594	70.968419604382	0.26194519347983	71.230364797862	64.146946205783	0.1205860466579
10	3912.3283166415	0.79143731368393	1.9527649161012	2.7442022297851	78.533721837732	71.258969425752	0.26785356695874	71.526822992711	64.128554652523	0.11986032871186
