# Time [h]	Methane [g/L/h]	Carbondioxide [g/L/h]
0.2	3.4257527830426	0.11071821824767
0.3939181716763	1.37955800334	0.064442129548525
0.66540361202311	1.0523882754065	0.059442388035691
0.79401985657861	1.0713762354728	0.064177004482046
0.97408259895631	1.1306150274668	0.072889300282601
1.2261704382851	1.2099617215282	0.083053665618023
1.5790934133454	1.2905192714863	0.095732513774947
2.0731855784298	1.3089031339054	0.10670153196289
2.7649146095479	1.04801759584	0.095400477771574
3.4547281678275	0.70683304449167	0.069894988926943
4.3309554431579	0.42253254916694	0.044949556518294
5.3309554431579	0.24804928233752	0.028048278645692
6.3309554431579	0.15705604603663	0.018650474006702
7.3309554431579	0.10931506254622	0.013545907711741
8.3309554431579	0.084220019786087	0.010853778784176
9.3309554431579	0.070989901968651	0.0094985414347336
10	0.063672374342036	0.0087337049839078
