# Time [h]	MS [1]	Lignin [1]	Butyric [1]	Initial_Substrate [1]	Carbohydrates [1]	Substrate [1]	MO_AcidoLCFA [1]	MO_hydroM [1]	Proteins [1]	AA [1]	MO_acetoM [1]	Propionic [1]	Carbondioxide [1]	Carbondioxide_gas [1]	MO_Propionic [1]	MO_ButyricValeric [1]	Valeric [1]	LCFA [1]	MO_AcidoMS [1]	Methane [1]	Methane_gas [1]	Hydrogen [1]	Hydrogen_gas [1]	Lipids [1]	MO_AcidoAA [1]	Acetic [1]	Phi [1]
2.872	1.8884812747278e-05	1.3159233513141	6.7240038694908e-06	0	0.0099788358206426	0.026976886525591	0.015689634160674	0.038649310301572	0.0034540601742625	1.4646915886588e-05	0.021780419357599	2.5170191905565e-05	0.27860790751829	0.54237420985113	0.01307315025239	0.022469640931407	2.4291837965772e-06	0.00043819445892491	0.080817220423482	0.075192878427629	0.54654456226197	1.9971643972482e-07	1.1273232320626e-05	0.0028222027039534	0.012102838881444	0.0013631881264601	0.90980075601301
3	1.793286073702e-05	1.3168122720633	6.3682191917984e-06	0	0.0095073221867322	0.026925765043721	0.015714323908447	0.038748386785406	0.0032807428206067	1.3828323879858e-05	0.021831665863787	2.3203621095161e-05	0.27546781588552	0.5352954076403	0.013089279389119	0.022492538636917	2.3015129448651e-06	0.00044391524688411	0.080906441782035	0.074668860607969	0.54706743852208	1.8927826869872e-07	1.0691272321644e-05	0.0026784666011355	0.012124321730614	0.0013218466280379	0.90986448444348
3.2	1.6563143535574e-05	1.3181114811992	5.8503618660299e-06	0	0.0088185278381263	0.026844232668806	0.015752375957917	0.038894463767175	0.0030276147893204	1.2654838214541e-05	0.021910163686906	2.0539422972116e-05	0.29149985466035	0.67728474241115	0.013112575583342	0.022525744028534	2.1137935248469e-06	0.00045092979151431	0.081036145531656	0.07458844839765	0.66655615019896	1.7480729025739e-07	9.8129395482073e-06	0.0024685528544129	0.012155564670297	0.0012521906407673	0.90995740666946
3.48	1.4860877939854e-05	1.3197606184632	5.2161244062328e-06	0	0.0079447221837335	0.026727026291987	0.015804612681075	0.039082696357886	0.0027066099416923	1.1217094288608e-05	0.022016926175629	1.7549363497712e-05	0.28440255239725	0.55976699842757	0.0131416711967	0.022567390034033	1.8824247443201e-06	0.00045876027113187	0.081199447991541	0.073154721127746	0.55340297417537	1.5765718198904e-07	8.8750114622932e-06	0.0022023728143601	0.012194949061949	0.0011497958659199	0.91007496395649
3.872	1.281070807947e-05	1.321772885468	4.4577385936705e-06	0	0.0068793736161022	0.026557780628908	0.015875828805294	0.039318225716092	0.002315456760012	9.504337032453e-06	0.022160379453383	1.4350254804646e-05	0.27659763428561	0.53838943791034	0.013176431832994	0.022617268380004	1.6039887452861e-06	0.00046510360731153	0.081396142510572	0.071246569595528	0.54046512933811	1.3811311004231e-07	7.7880620583707e-06	0.0018780682527457	0.012242503048919	0.0009965912245868	0.9102177647287
4	1.2208797912759e-05	1.3223653627319	4.2370011288708e-06	0	0.0065658883416133	0.026501439343623	0.015898643310686	0.039389117218447	0.0022004115915336	9.0045882035487e-06	0.022205808045551	1.3468603637807e-05	0.27474157017188	0.53472029331854	0.013186516849954	0.022631723682683	1.5228831486804e-06	0.00046618276713378	0.081453419016932	0.070663253595358	0.53980839171607	1.3248242931216e-07	7.4707674656234e-06	0.001782695165141	0.012256384163572	0.00094469724929004	0.91025966192099
4.2	1.1339943001567e-05	1.3232312836726	3.9153920754457e-06	0	0.0061081265015873	0.026412443014378	0.015933862000573	0.039494230636422	0.0020324742870482	8.2841671705633e-06	0.022275273405458	1.2239523023063e-05	0.29150222165039	0.67730944107648	0.013201090647481	0.022652602433288	1.4039589440515e-06	0.00046659987094188	0.081536442309268	0.070451688755186	0.65942455661749	1.2456464545496e-07	6.9924192292612e-06	0.0016434852117337	0.012276531589246	0.00086171397468609	0.91032076177126
4.48	1.0256318579439e-05	1.3243311050571	3.5182735042331e-06	0	0.0055277013037007	0.026286103687078	0.015982317796802	0.03963079124626	0.0018196474420364	7.3934895731845e-06	0.022369279921957	1.0791700633892e-05	0.28432908286836	0.56328429266741	0.013219296881926	0.0226786284587	1.2564644527206e-06	0.0004659841810574	0.081640522594361	0.068690712828488	0.54379770949299	1.1494148383485e-07	6.4561555763742e-06	0.0014670866243656	0.012301849833395	0.00074493711366794	0.91039811360615
4.872	8.9512566347445e-06	1.3256766223364	3.0417008131627e-06	0	0.0048204332340239	0.02610639789415	0.016048561173102	0.039803601439112	0.0015605233961007	6.3270435502989e-06	0.022493822137471	9.144659683144e-06	0.27400584250218	0.54097052772351	0.013241024143726	0.022709523156111	1.0786930136209e-06	0.00046222617312376	0.081765161818469	0.065945143671032	0.52863029416314	1.036527486221e-07	5.8209587946743e-06	0.0012523574498257	0.012332286643086	0.00058263095554837	0.91049229182682
5	8.5685626387016e-06	1.3260740414456	2.9028010456367e-06	0	0.0046123905851285	0.026047154452257	0.016069824335308	0.039856047485063	0.0014843548831527	6.0155609393496e-06	0.022532699241354	8.6759439433905e-06	0.27083500296222	0.53596766111884	0.01324731312908	0.022718412815492	1.026843704637e-06	0.00046038019540091	0.081801297300365	0.065010584589126	0.52741865197703	1.0035843458892e-07	5.6335805767142e-06	0.0011892491063333	0.012341140799372	0.00053051066051727	0.9105199980703
