# Time [h]	All Liquid [L/h]	MS [g/L]	Butyric [g/L]	AA [g/L]	Propionic [g/L]	Valeric [g/L]	LCFA [g/L]	Acetic [g/L]
5	-0.36338840738607	0.0095396073929684	0.0032112310386848	0.0066853392480011	0.0096001777577961	0.0011342156376833	0.45092953749073	0.47519357373113
5.2	-0.31335985309245	0.0089837144235427	0.003006691038026	0.0062259073928477	0.008920181976529	0.0010571525978944	0.44579843845802	0.39972144957392
5.48	-0.24975673065592	0.0082981055932201	0.0027542123192462	0.0056580299927076	0.0080998273427726	0.00096145293523488	0.43778312899825	0.30424259246618
5.872	-0.17717991818685	0.0075013547575956	0.0024589053339088	0.0049914686427397	0.0071645802779041	0.00084849915052077	0.4253376800735	0.19722810173461
6	-0.15764264694987	0.0072712675497692	0.0023743486302355	0.004798850343623	0.0069001106253376	0.00081600238855553	0.42104122202424	0.16875156471997
6.2	-0.13193461740397	0.0069566844606444	0.0022547995161935	0.0045279631588164	0.0065298728190783	0.00076958875274915	0.41417968417179	0.13248354859094
6.48	-0.10583488947266	0.0065848469458712	0.002111439236882	0.0041998451294681	0.0060911162976496	0.00071309071171045	0.40438383080602	0.097145853011678
6.872	-0.084635833121745	0.0061891942410762	0.0019523966819155	0.0038288546870784	0.005611545137652	0.00064863658959459	0.39058196814485	0.070176059868357
7	-0.080260257755534	0.0060803312763707	0.0019086686947509	0.0037240861220902	0.0054808360513612	0.00063054028856147	0.38608182804278	0.064775692345609
7.2	-0.054564291866862	0.0059547609018769	0.0018504590223811	0.0035844297893497	0.005307296517778	0.00060557768948199	0.3792782742268	0.058909927519283
7.48	-0.071079134825846	0.0058440355702666	0.0017886608599316	0.00342929235206	0.0051232239375463	0.00057706045690596	0.36980578234186	0.054068738297619
7.872	-0.068496629689128	0.0058173220058171	0.0017391223777732	0.0032860800064425	0.0049757144259076	0.00054900632066723	0.35724312805253	0.050935524277076
8	-0.068097071922201	0.0058263742824923	0.0017297852832564	0.0032517319943491	0.0049480791274244	0.00054209639594658	0.35332023543653	0.050398074256187
8.2	-0.053876096640625	0.0058989915162369	0.0017250331452767	0.0032219740589872	0.0049325292290983	0.00053413456655675	0.34753318010024	0.049955082508034
8.48	-0.068936910745443	0.0060827605566371	0.0017389293429855	0.0032197372922481	0.0049685826229275	0.00052881310887445	0.33985584131851	0.049963644756748
8.872	-0.071724831038411	0.0065004376890167	0.0017960510066725	0.0032865431265547	0.0051269742607008	0.0005317589521991	0.33024902019117	0.050962968557499
9	-0.072840784112956	0.0066533324416794	0.0018205742899255	0.0033173080072277	0.0051962784714032	0.00053437574673437	0.32736398359894	0.051447314990753
9.2	-0.073438070229492	0.0069677189734536	0.0018677381527528	0.003388090633169	0.0053286939034304	0.00054060056015488	0.32316619792427	0.052403799009233
9.48	-0.079144939651693	0.007497588423971	0.0019518002880624	0.0035185963190342	0.0055635271764826	0.00055349537882848	0.3177922389018	0.05411584179292
9.872	-0.085866991451823	0.0083603487753359	0.0020967010024636	0.0037383587433303	0.0059714981053373	0.00057764086079265	0.31119713883992	0.057149471083184
10	-0.088088704827474	0.0086354347251573	0.0021463036492757	0.0038084108082788	0.0061133583464593	0.00058601563559436	0.30922257639942	0.058225904957441
10.2	-0.091834565611979	0.009102004779331	0.0022264901246887	0.0039226197589044	0.0063439061137506	0.00059952933212049	0.30630419629736	0.060011334924783
10.48	-0.097171614388021	0.009750798311624	0.0023426772438663	0.0040753451614542	0.0066815857379772	0.00061883352565274	0.30249834119947	0.062678946514937
10.872	-0.10409034710937	0.01054327013706	0.0025018228852916	0.0042440937933645	0.0071584934615743	0.00064423757132868	0.29756588265099	0.066591450464763
11	-0.10606779093913	0.010753780798259	0.0025497542983036	0.0042835189472063	0.0073072733799508	0.00065148917255777	0.29602059517191	0.067859412938688
11.2	-0.08742014281901	0.011042292217997	0.0026194974587045	0.0043285528172956	0.0075297337007529	0.00066150971692999	0.29372764203862	0.069822554960399
11.48	-0.11229876634766	0.011352627742234	0.0027065283659645	0.0043582936441992	0.0078209535288051	0.00067287334456773	0.29049528931347	0.07251997888323
11.872	-0.11579035243652	0.01159364299897	0.0028009746605259	0.0043334006468418	0.0081704350510794	0.00068214100779524	0.28605972767426	0.076080223155778
12	-0.11665562149577	0.011632922978401	0.0028245309687383	0.0043120888134172	0.0082676264965693	0.00068345237604379	0.28462422901309	0.07716625552968
12.2	-0.094186657916667	0.011656987367769	0.0028534120307156	0.0042654790461998	0.0084002973078213	0.00068363681588277	0.28246104018797	0.07877465786204
