# Time [h]	MS [g]	Lignin [g]	Butyric [g]	Initial_Substrate [g]	Carbohydrates [g]	Substrate [g]	MO_AcidoLCFA [g]	MO_hydroM [g]	Proteins [g]	AA [g]	MO_acetoM [g]	Propionic [g]	Carbondioxide [g]	Carbondioxide_gas [g]	Carbondioxide_sum [g]	MO_Propionic [g]	MO_ButyricValeric [g]	Valeric [g]	LCFA [g]	MO_AcidoMS [g]	Methane [g]	Methane_gas [g]	Methane_sum [g]	Hydrogen [g]	Hydrogen_gas [g]	Hydrogen_sum [g]	Lipids [g]	MO_AcidoAA [g]	Acetic [g]
2.872	0.59279484503468	4013.0428492083	0.21106666374939	0	30.431480400442	82.268774559731	47.847307278188	117.86679076051	10.533509757374	0.45976711875076	66.422201357851	0.79009290440049	9.6119728093809	1.8711910239864	11.483163833367	39.868108099374	68.523736491414	0.076252143858246	13.75492330385	246.46159956688	2.5941543057532	1.8855787398038	4.479733045557	6.8902171705063e-06	3.889265150616e-05	4.5782868676666e-05	8.6065957796827	36.909247462318	42.790450586324
3	0.56295071086963	4013.0918091116	0.19991194891589	0	28.974332594429	82.058444779054	47.89085150661	118.09071510825	9.9983288420536	0.43410053816967	66.534396512378	0.72841094578267	9.5036396480504	1.846769156359	11.350408804409	39.89084838584	68.548113014514	0.072249386440038	13.935429773991	246.57020801547	2.5760756909749	1.8873826629012	4.4634583538761	6.5301002701058e-06	3.6884889509672e-05	4.3414989779778e-05	8.1628433968122	36.95027544291	41.495511313234
3.2	0.52000283828093	4013.1679776706	0.18367313626034	0	26.849195971293	81.730882726168	47.960437196513	118.42147862536	9.2179810832034	0.39730088802295	66.70914909912	0.64483872688799	10.056744985782	2.3366323613185	12.393377347101	39.923233517273	68.582970125125	0.066362917032262	14.157003325219	246.72685608833	2.5733014697189	2.2996187181864	4.8729201879053	6.0308515138798e-06	3.3854641441315e-05	3.9885492955195e-05	7.5158417095757	37.00971427936	39.312672086728
3.48	0.46661684778582	4013.2739801028	0.16378112099783	0	24.159189410526	81.274496024216	48.060660299039	118.84925983319	8.230558692823	0.35220563762795	66.952313760793	0.55103253385285	9.811888057705	1.9311961445751	11.74308420228	39.962902787169	68.625754583484	0.059106264291519	14.404596035511	246.92179483059	2.5238378789072	1.909240260905	4.4330781398123	5.4391727786219e-06	3.0618789544911e-05	3.6057962323533e-05	6.6972186985986	37.084256554238	36.102365801746
3.872	0.40230255442142	4013.421184823	0.13998909096794	0	20.888477928065	80.639844045441	48.205555277369	119.38815668843	7.0306353620872	0.29847053616319	67.288575501108	0.450649806655	9.5426183828534	1.8574435607907	11.400061943644	40.00910828538	68.675286206764	0.050371037932481	14.605905995805	247.15236017749	2.4580066510457	1.8646046962165	4.3226113472622	4.7649022964598e-06	2.6868814101379e-05	3.1633716397839e-05	5.7025522123476	37.173614039556	31.296470905898
4	0.38341675622817	4013.4691900618	0.13306281361897	0	19.927919502132	80.433678349583	48.253798608418	119.55135638257	6.6783994451433	0.28278868096509	67.397163688579	0.42298082378566	9.47858417093	1.844785011949	11.323369182879	40.022280388093	68.689224435317	0.047826069457626	14.640417684938	247.21847950073	2.4378822490398	1.8623389514204	4.3002212004603	4.5706438112694e-06	2.5774147756401e-05	3.034479156767e-05	5.4106015650929	37.199553305855	29.668075207152
4.2	0.35615242758681	4013.5439120158	0.12297030259215	0	18.526794351915	80.112600961606	48.32997726494	119.79432831836	6.1647762406771	0.26017998074357	67.565095222837	0.38440539108728	10.056826646939	2.3367175717139	12.393544218652	40.041055359685	68.708901504501	0.044093987946771	14.654419767418	247.31321428658	2.4305832620539	2.2750147203303	4.7055979823843	4.297480268196e-06	2.4123846340951e-05	2.8421326609147e-05	4.9849184558253	37.237042555312	27.063660707857
4.48	0.32214416905565	4013.6479566493	0.11050662152942	0	16.752794598083	79.665248285252	48.437998474697	120.11203621086	5.514802293643	0.23222459657974	67.795759732443	0.3389601095545	9.8093533589583	1.9433308097026	11.752684168661	40.064039310597	68.732525705892	0.039464708064946	14.636213592908	247.42979529669	2.3698295925828	1.8761020977508	4.2459316903337	3.9654811923024e-06	2.2273736738491e-05	2.6239217930793e-05	4.4462968449015	37.283855738109	23.397876513272
4.872	0.28117934249306	4013.7925287402	0.095546726773627	0	14.594976267985	79.043156524314	48.591221709477	120.51796612111	4.7248454272418	0.19874682626983	68.106640452823	0.28725451871116	9.4532015663253	1.8663483206461	11.319549886971	40.090631049764	68.758816164903	0.033884194526147	14.51952567202	247.56510742979	2.2751074566506	1.8237745148629	4.0988819715135	3.5760198274625e-06	2.0082307841626e-05	2.3658327669089e-05	3.7918017661504	37.339564231353	18.301661550864
5	0.26916540145918	4013.8395661526	0.091186058648885	0	13.961057369664	78.841072065236	48.641614869783	120.64210029697	4.492933391024	0.18896760802415	68.204759101663	0.27253853345967	9.3438076021966	1.84908843086	11.192896033057	40.098130830382	68.765934484729	0.032256370452911	14.461930772689	247.60324314456	2.2428651683248	1.8195943493208	4.0624595176456	3.4623659933178e-06	1.9435852989664e-05	2.2898218982982e-05	3.5996897238888	37.355628420372	16.664901791751
