# Time [h]	MS [g/L]	AA [g/L]	Butyric [g/L]	MO_AcidoLCFA [g/L]	MO_Acetic [g/L]	MO_hydroM [g/L]	Propionic [g/L]	Carbondioxide [g/L]	MO_Propionic [g/L]	MO_acetoM [g/L]	MO_ButyricValeric [g/L]	LCFA [g/L]	MO_AcidoMS [g/L]	Methane [g/L]	MO_AcidoAA [g/L]	Valeric [g/L]	Hydrogen [g/L]	Acetic [g/L]	Nitrogen [g/L]	NH4N [g/L]
5.48	0.00027637173530769	0.00036168445636315	0.00052282386715799	1.4174513744964	1.0466783258685	3.3545927761659	0.0030833153914346	-0.043083961440236	1.1441468553666	0.054144736246485	1.9560702055648	0.35437572640526	6.9670046691423	0.013303968161152	1.018778574969	0.00019581076893113	7.3238258939427e-08	0.093100988378775	0.053099867892419	0.053099867625153
5.872	0.00027838555650363	0.00036170361564884	0.00051753455534959	1.4218385748521	1.0473088895592	3.3618807861105	0.002965185245847	-0.045910941403391	1.1441719056559	0.054252915671459	1.9556825668478	0.34341904126252	6.9649355911513	0.013204004081413	1.0185581564719	0.00019328987109658	7.1756400333794e-08	0.088114824113072	0.04003612940385	0.040036129204034
6	0.00027906865740572	0.00036256510365254	0.0005185129456449	1.423256271737	1.0475075165968	3.364220870963	0.002962597678527	-0.046645741444491	1.1441780117509	0.054287335240753	1.9555555794781	0.34124165283341	6.9642601172553	0.013174132031441	1.0184861302866	0.00019363491896061	7.1536285658745e-08	0.087115747331592	0.036447299615135	0.03644729943365
6.2	0.00021655728216546	0.00028402606941817	0.00042508022991499	1.4254522502241	1.0478079596429	3.3677524634418	0.0024487527920094	-0.047830010691256	1.1441672433563	0.054339867069851	1.9553418736625	0.33233945700956	6.9631870532959	0.012909639018502	1.0183649467584	0.00015754766450321	6.8745967635362e-08	0.084628857643461	0.031445984689706	0.031445984533625
6.48	0.00021733840263887	0.00026987259017992	0.00039502084610103	1.4284741669453	1.048204796754	3.3724693024384	0.002200287709518	-0.049031535183154	1.1441180938938	0.054410394716514	1.9550231127154	0.32197018966777	6.9616774794039	0.012877690060247	1.018187399983	0.00014490420398324	6.6981762415029e-08	0.08136207223965	0.025530589556284	0.025530589430042
6.872	0.00022066495598816	0.00027224863590162	0.00039502370289577	1.4325850979729	1.0487189119215	3.3787916491259	0.0021543128004355	-0.049535930357356	1.1440297866812	0.054503866354731	1.9545696291784	0.31282540050599	6.9595644668448	0.01278620264422	1.0179370914568	0.00014446436807903	6.6004361344237e-08	0.07818777253755	0.018985072609946	0.018985072516459
7	0.00022182426558361	0.00027368273865445	0.00039691866699554	1.433900634695	1.0488787498125	3.3808061760187	0.0021599571868459	-0.049572814613123	1.1439996888639	0.054533371031338	1.9544212537019	0.3110673538664	6.9588746448673	0.012749621865679	1.0178553192665	0.00014513845765137	6.5859281707227e-08	0.077501151378451	0.017190982145023	0.017190982060467
7.2	0.00018855318662501	0.00022865343717004	0.00034408541792372	1.4359195567745	1.0491181484703	3.3838461265433	0.0018785103068553	-0.049492109200667	1.1439406518171	0.054578151940366	1.9541805050739	0.30398941568715	6.957787432418	0.012458971263087	1.0177225838948	0.0001239632284909	6.419250069847e-08	0.075992996336108	0.014696941381361	0.014696941309186
7.48	0.00019129316921913	0.00022231595469615	0.00032940071404371	1.4386562519059	1.0494289629166	3.3878884160844	0.0017546887505349	-0.049406345933923	1.1438381915367	0.054637724917286	1.9538318350308	0.29588798989801	6.9562613977896	0.012414502719885	1.0175320902794	0.00011728089756858	6.3097339977863e-08	0.073904891303936	0.011761414415029	0.011761414357377
7.872	0.00019780943685042	0.0002285865758305	0.00033622783649024	1.4422881436753	1.0498152990563	3.3931981214875	0.001761928354988	-0.048240790655398	1.1436825468245	0.054714848600944	1.953338845073	0.28900505997706	6.954125300852	0.012280483854332	1.0172642076131	0.00011930752188367	6.2488520038703e-08	0.071576244197546	0.0085433605379147	0.0085433604961224
8	0.00020015313684704	0.00023131035978155	0.00034003805730467	1.4434280444423	1.049930687562	3.3948582995157	0.0017782273467967	-0.047744654969062	1.1436307230566	0.054738647325025	1.9531775765273	0.28776016567781	6.9534279287087	0.012223654542256	1.0171766886178	0.00012063501452306	6.2408134419498e-08	0.070983669994496	0.0076685400786351	0.007668540041143
8.2	0.0001901094949464	0.00020964237543186	0.00031658336308225	1.4451460479755	1.0500977731111	3.3973348602206	0.001646948998971	-0.046635024633556	1.1435429170822	0.054774125243937	1.9529207738253	0.28160107707619	6.9523347593845	0.011903909851923	1.0170373247338	0.00010981973253553	6.1478677807136e-08	0.069962742419927	0.0064627380615532	0.0064627380299803
8.48	0.00019764046751828	0.00021145824275703	0.00031657731477013	1.447405097066	1.0503018173692	3.4005519751443	0.0016152138629711	-0.04531889008189	1.1434084109125	0.054819922837053	1.9525545784669	0.27454981488068	6.9508027621045	0.011802075467587	1.0168395556515	0.00010834501301049	6.0829494604223e-08	0.068380037409054	0.0050668366292077	0.0050668366044761
8.872	0.0002130428241897	0.00022651452538336	0.0003366501462173	1.4502580619462	1.0505245182527	3.4045788427538	0.0016914815854811	-0.042472423031086	1.1432107049353	0.054875858562495	1.9520378698551	0.26880996562908	6.9486581200814	0.01157423691293	1.0165616248806	0.00011470540464183	6.0524125580225e-08	0.06615261953502	0.0035854230861741	0.0035854230686899
9	0.00021868563124441	0.00023242800060251	0.0003449733158688	1.4511201474362	1.0505829983946	3.405789300061	0.001728181701557	-0.041423062546034	1.1431449743948	0.054892271953185	1.9518687044561	0.26787274186921	6.9479579207714	0.011485081306698	1.0164707758136	0.00011748142524703	6.0515869912171e-08	0.065469497651656	0.0031941679268031	0.0031941679112307
9.2	0.00022754730928472	0.0002263526219627	0.00034373529786038	1.4523785598568	1.050658180655	3.4075428889476	0.0017044004722985	-0.039212330615857	1.1430379236125	0.054915807139752	1.9516015024706	0.26195450427522	6.9468632492001	0.011140280357142	1.0163272904307	0.0001138787076377	6.0050407220473e-08	0.064519307422595	0.0026695990180424	0.0026695990050317
9.48	0.00024713260988446	0.00023921845155921	0.00036165970993775	1.4539540047052	1.0507301460065	3.4097158475908	0.0017610177716775	-0.036539060950089	1.142880128112	0.054944413184064	1.9512228665889	0.25516618176694	6.9453303702783	0.010964275228057	1.0161245579291	0.00011779753747699	5.9746156569314e-08	0.062950479518008	0.0020921427564466	0.002092142746254
9.872	0.00028182803602182	0.0002695714751574	0.0004030355227918	1.455820868418	1.0507687349726	3.4122582000989	0.0019253496076311	-0.03215779882074	1.1426500595519	0.054976342586674	1.950688348285	0.24968279735816	6.9431842319319	0.010673169315548	1.0158394669256	0.00013024343115871	5.9776413734928e-08	0.0605761319667	0.0015306023836963	0.0015306023762421
10	0.00029342923413784	0.00028018058457706	0.00041765096794228	1.4563637098797	1.0507687447994	3.4129904006113	0.0019858637377289	-0.030679549826492	1.142573582329	0.054985123490109	1.9505132221419	0.24879971211144	6.9424835563286	0.010574015957601	1.0157462416343	0.00013479090416659	5.9859365962061e-08	0.059833577351436	0.0013925942140275	0.001392594207246
10.2	0.00030865106806457	0.00027762392041524	0.00042645255592474	1.4571408723246	1.0507567634584	3.414027432752	0.002014615053606	-0.027722123459973	1.1424509182681	0.054997274339988	1.9502373515299	0.24287698939731	6.9413878555949	0.010274852789088	1.0155992510867	0.00013392219102838	5.9569804306616e-08	0.058915981192827	0.0012177528843883	0.0012177528784589
10.48	0.00033738653482759	0.00029248029009411	0.0004500148354432	1.458101810234	1.0507192235462	3.4152910049046	0.0020969865203323	-0.024369853931829	1.1422735643714	0.055011568375057	1.9498474506164	0.23589884621624	6.9398534508507	0.010112714023701	1.015391701353	0.00013830440633887	5.9382853844984e-08	0.057599126924884	0.001041610823449	0.0010416108183778
