# Time [h]	MS [1]	AA [1]	Butyric [1]	MO_AcidoLCFA [1]	MO_Acetic [1]	MO_hydroM [1]	Propionic [1]	Carbondioxide [1]	Carbondioxide_gas [1]	MO_Propionic [1]	MO_acetoM [1]	MO_ButyricValeric [1]	LCFA [1]	MO_AcidoMS [1]	Methane [1]	Methane_gas [1]	MO_AcidoAA [1]	Valeric [1]	Hydrogen [1]	Hydrogen_gas [1]	Acetic [1]	Phi [1]
2.872	8.7958846363374e-07	1.2891831155666e-06	1.7879694594328e-06	0.01566096288376	0.011743945812753	0.037143604609334	1.4798967526834e-05	0.03727605781872	0.11125600705789	0.01287864087104	0.00060035929411355	0.022087571829564	0.0004092871828905	0.078766079841488	0.014975973301566	0.55164208883024	0.011506347020842	6.784002253331e-07	1.2381014597392e-07	1.2759544184089e-05	0.00028597881731811	0.90926587647489
3	8.7979563433039e-07	1.2890674612463e-06	1.7866481420637e-06	0.015675495420724	0.011747909321033	0.037187606848404	1.4668528253574e-05	0.029546722863284	0.091292755836127	0.012881806938254	0.00060102108121098	0.022086660151327	0.00041474480417318	0.078754644822584	0.01489886618285	0.55849333222241	0.01150570242481	6.7786965645281e-07	1.2274314333783e-07	1.2734458739399e-05	0.00026405156833647	0.90926058675849
3.2	5.9885979423103e-07	9.1935379918381e-07	1.3500653833014e-06	0.015698750550841	0.011753730970674	0.037252192559818	1.1111533781397e-05	0.016323773665209	0.044303773811547	0.012885971721697	0.00060200219556541	0.022084706190049	0.00042343807355543	0.078736536192855	0.014881229231343	0.58831641180071	0.011504369630844	5.1676797302239e-07	1.0960301570906e-07	9.0473342594231e-06	0.00022469097869947	0.90925290851821
3.48	5.9533754071208e-07	8.4596212021862e-07	1.1986092206258e-06	0.015732286991358	0.011761065540579	0.037334618898834	8.9182925965412e-06	0.0032750489204806	0.018289565516167	0.012889975143594	0.00060326222886727	0.022081335612135	0.00043111161602416	0.078711820788592	0.01456308508556	0.58619259108741	0.011502270147506	4.5685028226856e-07	1.0067131576719e-07	9.0038686651151e-06	0.00018504419414684	0.90924314883541
3.872	5.9642755928036e-07	8.401104519163e-07	1.1750452288005e-06	0.015780117311444	0.011770159919919	0.037443016506406	8.2067475593956e-06	-0.010772817910156	-0.017603373496683	0.012894217623271	0.00060487001023931	0.022076509259817	0.00043649962132689	0.078678011514218	0.014208833726858	0.59721703171391	0.011499365445536	4.4693593210877e-07	9.6089325788541e-08	8.9703611368818e-06	0.0001539691808107	0.90923028281364
4	5.967680328673e-07	8.4040325986795e-07	1.1747705660652e-06	0.015795828075939	0.011772957991024	0.037477702895933	8.1538418672244e-06	-0.014731916136035	-0.028161474805254	0.01289551308677	0.00060537285170118	0.02207494331182	0.00043745013091091	0.078667052146385	0.014140313873022	0.60094860624742	0.011498426609755	4.4680028459458e-07	9.5476153546902e-08	8.9592830093073e-06	0.00014823467256226	0.90922615976952
4.2	4.1747952430739e-07	6.1247618464337e-07	9.0404249768428e-07	0.015820596890211	0.011777156644649	0.037529199159746	6.2662707165074e-06	-0.021542804424185	-0.052916811104096	0.012896999130075	0.00060613259091227	0.022072162582007	0.00043187265146951	0.078649785055257	0.013963360751693	0.59513764867359	0.011496759546226	3.4516348425286e-07	8.7901823491145e-08	6.8120319209103e-06	0.00013732764136232	0.9092201041301
4.48	4.1574302900738e-07	5.6811568635212e-07	8.1215172579986e-07	0.015855524820112	0.01178263678497	0.037596522304784	5.2323978104073e-06	-0.028053201523149	-0.065756375555196	0.012898016988711	0.00060713937597004	0.02206787068552	0.00042362656268532	0.078626000146725	0.013803888110348	0.61301060917078	0.011494281790573	3.0802496916907e-07	8.3203255837182e-08	6.7789352560424e-06	0.00012521887952875	0.90921223952524
4.872	4.1725271956754e-07	5.6566684800127e-07	7.9936884997762e-07	0.015904341724859	0.011789713323188	0.037686765606233	4.9366895404525e-06	-0.034853830584385	-0.083304282551204	0.012898781410895	0.00060846876649769	0.02206179604967	0.00041521166214866	0.078593192504302	0.013630900797683	0.62039981781806	0.011490834832394	3.0242366335391e-07	8.0891369281756e-08	6.7635201833896e-06	0.00011508137512978	0.90920172007585
5	4.1774937585249e-07	5.6625777499638e-07	7.9977821714013e-07	0.015920232610502	0.011791934307448	0.037715794112486	4.9196482775269e-06	-0.036747132934361	-0.088443963349674	0.012898993699218	0.00060889119275866	0.022059820525679	0.00041347054028653	0.078582536427262	0.013594600002225	0.62227645295334	0.011489716247318	3.0255182660474e-07	8.0568669732541e-08	6.7586093700799e-06	0.00011315465433507	0.90919833946096
