# Time [h]	hydro_Methanogenesis [g/h]	aceto_Methanogenesis [g/h]	Valeric_Degradation [g/h]	Acidogenesis_MS [g/h]	Acetic_Degradation [g/h]	Propionic_Degradation [g/h]	Acidogenesis_LCFA [g/h]	Acidogenesis_AA [g/h]	Butyric_Degradation [g/h]
14.872	0.4448190426641	0.055718968415416	0.0089882446108147	0.078370493096796	0.26449683265737	0.13333833743017	0.78803914254939	0.017641136309979	0.038718735020009
15	0.44482048521213	0.05577361020936	0.0089532038372624	0.078352190738046	0.26472907512495	0.13299153522007	0.78797760712874	0.017603453171071	0.038633674755798
15.2	0.43828038586241	0.055604430148478	0.008293676351766	0.072734783647313	0.26387849621104	0.12701970952427	0.7793116107097	0.016070527501218	0.036614750058229
15.48	0.43321781031475	0.055493005225897	0.0078051175269876	0.071346162805098	0.26329064670308	0.12231021407501	0.77098364827465	0.015234980784004	0.035178412252405
15.872	0.43125994906638	0.055599212907193	0.0075828396573063	0.071139735297509	0.26371350552303	0.12003058773874	0.76688104004572	0.014946963423517	0.03457244162932
16	0.43131175854291	0.055667784708246	0.0075586307396379	0.071122602641154	0.26401178438871	0.11977377556254	0.76673323435334	0.014920935841758	0.034511357109374
16.2	0.42481672410724	0.055496534767508	0.007072471314887	0.066456774102595	0.2631518653888	0.11492185388769	0.7561972965531	0.013785674512581	0.032913593549534
16.48	0.41961522407894	0.055392806523118	0.0067185642763652	0.065343325501391	0.26260138011759	0.11119585138317	0.74585062435799	0.013180539119043	0.031803010932746
16.872	0.41753371939853	0.055528070385092	0.0065627184702212	0.065180906446914	0.26316221176621	0.10947779217955	0.74033084890434	0.012978713301388	0.03135489606588
17	0.41759067229837	0.055608543208752	0.0065465726967971	0.065165251351263	0.26351677183632	0.10929922493565	0.73997669327769	0.012961147481315	0.031312811107035
17.2	0.41086995059246	0.055426927841128	0.0061828671178439	0.061179797147832	0.26260806228939	0.10532592621867	0.72727379542446	0.012100344025615	0.030019265023774
17.48	0.40527468183682	0.055317345075178	0.0059232679186	0.060266422764628	0.26203064581874	0.1023598251118	0.71456365194292	0.011653483838764	0.029143018880845
17.872	0.40288683512582	0.055469436249685	0.005813649294087	0.06013655930869	0.26267135968128	0.10107276492222	0.70732948029299	0.011510548541377	0.028808399927602
18	0.40291796004548	0.0555598064732	0.0058030967452197	0.06012199951846	0.26307263100527	0.10095434124475	0.70670921427071	0.011498735829698	0.028780011291048
18.2	0.39578113166624	0.055357525722506	0.0055228908255734	0.056606864454546	0.26206631410278	0.097618117892583	0.69175885355268	0.010822995169821	0.02769579688418
18.48	0.38960884230775	0.055225375695467	0.0053272073989495	0.055836385399211	0.26138295412561	0.095198922842017	0.67655811960173	0.010482482151089	0.026981018166729
18.872	0.38676634722474	0.055376851609354	0.0052487025449379	0.055730172361923	0.26202106794852	0.094220713742498	0.6674477340311	0.010378809757495	0.026724562803921
19	0.38674084120149	0.055473498630649	0.0052418882066383	0.055716407254301	0.26245190042478	0.094145334901599	0.66651800772919	0.010370785822062	0.026705566718204
19.2	0.3790248590656	0.055236321016183	0.0050174149591975	0.05251947734983	0.26128072855188	0.091246642955525	0.64925984820803	0.0098179313466795	0.025760595281625
19.48	0.37210695431467	0.055059879756488	0.0048642359193076	0.051851851204778	0.26038903097635	0.089203446438796	0.6314542216331	0.009548081141058	0.025154280896982
19.872	0.3686563890181	0.055187335413714	0.0048062752455246	0.051763221965811	0.26091426591288	0.088437273499646	0.62029669156298	0.0094702876523684	0.024950396648456
20	0.36853857009025	0.055285028854221	0.0048019001222921	0.051750102967651	0.26135000550749	0.088391298443573	0.61900714760535	0.0094647134919545	0.024937639541414
