# Time [h]	All Liquid [L/h]	MS [g/L]	AA [g/L]	Butyric [g/L]	Propionic [g/L]	LCFA [g/L]	Valeric [g/L]	Acetic [g/L]
22.872	29.972517946115	6.8625812764186e-06	1.683872432218e-05	6.199765136257e-05	0.00038824595679837	0.044120522224766	1.3238865389318e-05	0.048762325393268
23	29.972812181033	6.6973043666425e-06	1.648613819127e-05	6.0832682680946e-05	0.00038161440511325	0.042492472168486	1.2986025583001e-05	0.048239649758864
23.2	29.973177486366	6.4546782576569e-06	1.6045664109417e-05	5.9391480896615e-05	0.00037344940539097	0.040548740134367	1.2678287867932e-05	0.047579800915729
23.48	29.973667480591	5.973022322272e-06	1.5243975366735e-05	5.6951363526686e-05	0.00036016378929578	0.037888309814845	1.2161294037426e-05	0.046692957370367
23.872	29.974614392132	5.4204485900603e-06	1.4071443167565e-05	5.3180788332233e-05	0.00033870465714389	0.033151034524519	1.1344035467346e-05	0.045002598076457
24	29.974912249089	5.2889675970602e-06	1.3776177171546e-05	5.2187854090193e-05	0.0003328922262437	0.031781060707216	1.1128584841264e-05	0.044473357106038
24.2	29.975274083398	5.1600272278476e-06	1.3436741789e-05	5.1340669879125e-05	0.00032653659024016	0.030149394530942	1.0896129864061e-05	0.043781292572912
24.48	29.975208500325	5.2254610288209e-06	1.3361812194566e-05	5.8426000084895e-05	0.00034961855508532	0.027983379829359	1.1278215458353e-05	0.043870479977919
24.872	29.974162583938	5.2253964323103e-06	1.3463252856876e-05	7.2422482176518e-05	0.00040918515957413	0.024256172553322	1.2207827581982e-05	0.045712442046357
25	29.973820441774	5.1894099587895e-06	1.3454575786347e-05	7.5223018329761e-05	0.00042310845576665	0.023191397921558	1.23865940442e-05	0.046317131383813
25.2	29.973402026252	5.3131147466631e-06	1.3505152004426e-05	7.7332304930434e-05	0.00043574710186816	0.02193252000457	1.2515359410772e-05	0.047053215780371
25.48	29.973483044142	6.349362147702e-06	1.517542962695e-05	7.7680520469517e-05	0.00045061650451495	0.020316120896719	1.3129435111484e-05	0.046894163097501
25.872	29.974800674156	6.9575747425506e-06	1.7697915452141e-05	7.6731266369596e-05	0.00046974885734785	0.017605674217776	1.4334072939093e-05	0.044559277528097
26	29.975265415494	6.9359612211796e-06	1.808752515885e-05	7.6311113156952e-05	0.00047305748591656	0.016835237856254	1.4572934101469e-05	0.04373842844083
26.2	29.975852959337	6.9422076009399e-06	1.8346644536707e-05	7.5689763204166e-05	0.00047482257485616	0.015925021670705	1.4752025761997e-05	0.04269228017937
26.48	29.97651061686	7.4655579883105e-06	1.9471804017935e-05	7.7114855099043e-05	0.00048450465346315	0.014749507482531	1.5479230191446e-05	0.041519888699003
26.872	29.977437778818	7.6843529865393e-06	2.1008141936236e-05	8.021196348031e-05	0.00050459360932735	0.01277592727766	1.6769474388413e-05	0.039880468099872
27	29.977699878854	7.6288968299363e-06	2.1207437820214e-05	8.0670040341866e-05	0.00050849571399384	0.012216248175417	1.7008241469786e-05	0.039418208329124
27.2	29.97801445989	7.5630213387173e-06	2.1274630311741e-05	8.0816092342209e-05	0.00051103757955567	0.011556354578641	1.7166945053995e-05	0.03885143737302
27.48	29.978306151173	7.7333104542343e-06	2.1710712123967e-05	8.2607109940156e-05	0.00052345253230792	0.01071678958204	1.760384772782e-05	0.038327634275559
27.872	29.978612988835	7.7502798150255e-06	2.231286065754e-05	8.5798957041686e-05	0.00054875409060222	0.0093302981753618	1.8332767235764e-05	0.037785017314133
28	29.978696112335	7.7009989221719e-06	2.236619760988e-05	8.6304754989468e-05	0.00055403443527254	0.008939390540455	1.8456829511775e-05	0.037638721391468
28.2	29.9787965653	7.6355307066391e-06	2.2334964075366e-05	8.6522602545206e-05	0.00055809209346762	0.0084800491299659	1.8521467636073e-05	0.037454225711826
28.48	29.978917033493	7.6548244832315e-06	2.2433288385024e-05	8.7286831632703e-05	0.0005664758404181	0.0078993061429333	1.8684184036942e-05	0.037235100902948
28.872	29.979117929281	7.5941947862434e-06	2.256589965123e-05	8.8504178657556e-05	0.00058103925115863	0.0069447930037562	1.8947485957228e-05	0.036878534628186
29	29.979180655849	7.5541605852211e-06	2.2550499510827e-05	8.8639286004882e-05	0.00058388094424302	0.0066762530536079	1.8980760445479e-05	0.036767712256629
29.2	29.979259951402	7.4937021296175e-06	2.247865049276e-05	8.8577900699708e-05	0.00058576824763829	0.0063612378563224	1.897456774544e-05	0.036623569251722
29.48	29.979365211562	7.4321618695406e-06	2.2391364442582e-05	8.8532908730772e-05	0.00058852514264643	0.0059635634711803	1.8966979359128e-05	0.036432907214264
29.872	29.979556135303	7.333300913905e-06	2.2261208450051e-05	8.845258222865e-05	0.00059279928437858	0.0053104882393757	1.8951660659775e-05	0.036093109834981
30	29.979615574973	7.2997722327954e-06	2.2208851543948e-05	8.8351839214755e-05	0.00059338009210141	0.0051269229273127	1.8931855273614e-05	0.035987704021181
