# Time [h]	MS [g]	AA [g]	Butyric [g]	MO_AcidoLCFA [g]	MO_Acetic [g]	MO_hydroM [g]	Propionic [g]	Carbondioxide [g]	Carbondioxide_gas [g]	Carbondioxide_sum [g]	MO_Propionic [g]	MO_acetoM [g]	MO_ButyricValeric [g]	LCFA [g]	MO_AcidoMS [g]	Methane [g]	Methane_gas [g]	Methane_sum [g]	MO_AcidoAA [g]	Valeric [g]	Hydrogen [g]	Hydrogen_gas [g]	Hydrogen_sum [g]	Acetic [g]
0.2	0.062682886149391	0.082898309279519	0.098933084106897	43.90893602179	33.046884329539	102.51616197243	0.38788102945809	20.492773821627	1.6603468022969	22.153120623924	36.324720356717	1.655159820015	62.73819731663	1.1847468623673	224.48982795	1.2907500885724	2.9221806509194	4.2129307394918	32.689261129985	0.033682086029602	4.2808405521827e-06	3.0084346846012e-05	3.4365187398195e-05	42.363005806805
0.48	0.060049421226123	0.093706461318541	0.10949427403609	43.937697566208	33.091496358328	102.81843420739	0.57829569106084	15.497246561894	2.5192828251984	18.016529387093	36.351927849378	1.6613212175293	62.758484884485	2.5618547686351	224.46849062216	0.86719186464991	1.7349881579404	2.6021800225903	32.701106125146	0.040209917923798	4.6834436535935e-06	6.2520885045417e-05	6.7204328699011e-05	39.011030530708
0.872	0.060039840213569	0.094678096212196	0.11224617364658	44.002470613232	33.153428188662	103.30082294285	0.66317087769738	10.750865760877	2.5468557456436	13.297721506521	36.40158922403	1.6699086297031	62.789870829399	3.8543196305935	224.43832072503	0.60340469079031	1.3338796057756	1.9372842965659	32.718877797065	0.041644892908191	5.1894829583429e-06	7.0710564674738e-05	7.5900047633081e-05	36.02859251976
1	0.060026952653134	0.094626354367129	0.11234213656405	44.027709963294	33.173579671004	103.46461337087	0.67219745473305	9.5451952640317	2.3393343122368	11.884529576268	36.418854828004	1.6727106231095	62.800263971357	4.1221571435442	224.42847127105	0.5561256500815	1.2397402615177	1.7958659115992	32.724708331524	0.041692184684042	5.2598492409104e-06	7.0133872410845e-05	7.5393721651755e-05	35.42396440912
1.2	0.039104122290076	0.066289508872162	0.092048883044568	44.070974271424	33.20462641055	103.71857044442	0.70765572818515	8.0100444872469	2.0245163369524	10.034560824199	36.446709287674	1.677039945588	62.813781807519	5.5827391434586	224.40724628255	0.54286371168354	1.7809565359408	2.3238202476243	32.730942112878	0.034741145147234	5.1163946538974e-06	5.9606986348605e-05	6.4723381002503e-05	30.858960978501
1.48	0.03874006641463	0.060275976793083	0.083556144368903	44.141010271726	33.246724463706	104.07582577057	0.72316783898491	6.0815715194521	1.5300680533614	7.6116395728135	36.486904184399	1.6829415372857	62.828400112557	7.3443060943059	224.37505287818	0.50711595512609	1.4407808289579	1.947896784084	32.736885771188	0.031416750726161	5.1470044511746e-06	5.9648986288905e-05	6.4795990740079e-05	25.118444468931
1.872	0.038747662966859	0.0596416746095	0.081956416041929	44.252156295695	33.303355326241	104.58127183834	0.72691915550607	4.2377019446317	1.1474467207659	5.3851486653975	36.543977384426	1.6909361455736	62.847046037316	8.9470453459524	224.32994935957	0.4894213437948	1.4931006973956	1.9825220411904	32.744573900955	0.030740008246375	5.1529527893028e-06	5.9131312285812e-05	6.4284265075115e-05	19.760251729808
2	0.038747731744796	0.059613561013026	0.081880544864972	44.290282240075	33.321471842135	104.74691919728	0.72686927591839	3.75185870256	1.0339979020695	4.7858566046294	36.562671091184	1.6935049898014	62.853062925679	9.2655007786531	224.31522473965	0.48875885173744	1.5284435335537	2.0172023852911	32.74707003073	0.030708876979384	5.1555964589434e-06	5.895410427217e-05	6.4109700731113e-05	18.68519654533
2.2	0.025855174833393	0.041653321503971	0.060968124080245	44.352054163925	33.348630039107	104.99321141299	0.58179323317998	2.949530240453	0.76521646830303	3.714746708756	36.589636905969	1.697378337087	62.859381889053	10.159845456998	224.28856828112	0.50359726428625	1.8405680454332	2.3441653097195	32.74907064736	0.023192274351027	4.6211247079594e-06	4.1644477182396e-05	4.6265601890355e-05	15.395116738409
2.48	0.025664444617943	0.037991362792301	0.053465870633275	44.443182934296	33.383502302831	105.30986946926	0.4741621086254	2.0911392306094	0.5743525631843	2.6654917937937	36.620558440743	1.7024105268268	62.864043473865	11.129993025829	224.24972305237	0.49425572868094	1.7202890934135	2.2145448220944	32.750095531901	0.020316734065691	4.2170347664409e-06	4.1216829268971e-05	4.5433864035412e-05	11.639445305515
2.872	0.025685709432305	0.037647703260527	0.05221449064359	44.57650961697	33.427284452734	105.72469065674	0.43218716155979	1.1973069771373	0.35735429466995	1.5546612718072	36.657261193234	1.708829977213	62.86901030364	11.9534975926	224.19532972176	0.48102826244628	1.7718743893227	2.252902651769	32.751142546694	0.019811535453633	3.9767818886822e-06	4.0983655919293e-05	4.4960437807975e-05	8.3524291758646
3	0.025691496411644	0.037643967784781	0.052175423570753	44.62082096548	33.440770672469	105.85700346742	0.4283737296995	0.94904073836869	0.29323233174564	1.2422730701143	36.668708925088	1.7108265460557	62.870575538548	12.112813053168	224.17757245707	0.47855158179314	1.7938805830984	2.2724321648915	32.751476044028	0.019795860029553	3.9425097640112e-06	4.090308147095e-05	4.4845591234961e-05	7.7119351188957
