# Time [h]	Carbondioxide [vol%]	Methane [vol%]	Hydrogen [vol%]
0.2	17.154505394529	82.83872256969	0.0067720357807755
0.48	27.581557255625	72.404536800807	0.013905943567894
0.872	31.02498310245	68.958048932197	0.016967965352908
1	31.038816581974	68.943676340477	0.017507077548334
1.2	28.50419307081	71.479649866825	0.016157062364771
1.48	28.17901211234	71.803799802284	0.017188085376468
1.872	27.01279067718	72.969849110117	0.017360212702435
2	26.613601921209	73.369024942213	0.017373136577878
2.2	24.672904071865	75.311376034303	0.015719893832086
2.48	24.320244666201	75.663781122999	0.015974210800098
2.872	23.565770915061	76.418225537841	0.016003547097982
3	23.326983901985	76.657014604316	0.016001493699086
3.2	22.555340350415	77.429598103697	0.01506154588791
3.48	22.264891624601	77.720019514376	0.015088861023466
3.872	21.812069006264	78.172852671674	0.015078322061575
4	21.673646362171	78.311281064847	0.015072572981486
4.2	21.657931246272	78.327390183735	0.014678569993453
4.48	21.403585859866	78.581806931161	0.014607208972638
4.872	21.132409344728	78.853008048483	0.01458260678938
5	21.052007436173	78.933416598952	0.014575964874982
5.2	21.482486095869	78.503026596026	0.014487308105158
5.48	21.247763847885	78.737861687374	0.014374464740624
5.872	21.085582032422	78.900072923059	0.014345044518687
6	21.039612158924	78.946049335329	0.014338505746561
6.2	21.716427156609	78.269140164071	0.014432679319672
6.48	21.497602288059	78.488093862194	0.014303849746306
6.872	21.405188928398	78.580536844335	0.014274227266491
7	21.381620576227	78.604111003911	0.014268419862606
7.2	22.178874715505	77.806655294993	0.014469989502151
7.48	21.980741956837	78.004918977573	0.014339065589913
7.872	21.943005025121	78.042682202362	0.014312772517321
8	21.937941264073	78.047750302357	0.014308433569877
8.2	22.768283518197	77.217154549895	0.014561931907876
8.48	22.60688323865	77.378676502285	0.014440259064888
8.872	22.630814856415	77.35476311608	0.014422027505031
9	22.647403139109	77.338176445844	0.014420415047543
9.2	23.429735150401	76.555593402568	0.014671447030918
9.48	23.333872357197	76.651554409403	0.014573233400675
9.872	23.433000816532	76.552430893864	0.014568289603933
10	23.473691443183	76.511738170088	0.014570386729054
10.2	24.115487879731	75.869751506603	0.014760613665129
10.48	24.098243943856	75.887059104041	0.014696952102671
10.872	24.242724717345	75.742572264643	0.014703018012024
11	24.293673272774	75.69161911933	0.014707607895998
11.2	24.73262038702	75.252572114933	0.014807498047132
11.48	24.76582892892	75.21939437843	0.014776692649643
11.872	24.906992485433	75.078216676363	0.014790838204412
12	24.953857798841	75.031345005697	0.014797195461848
12.2	25.209306769561	74.775870261064	0.014822969374543
12.48	25.266760048771	74.718422255347	0.014817695881473
12.872	25.391432551007	74.593728205619	0.014839243374753
13	25.431912251652	74.553240518516	0.014847229831749
13.2	25.557537600488	74.427636040171	0.01482635934061
13.48	25.628449281294	74.356711756603	0.01483896210293
13.872	25.740516628466	74.244616961255	0.014866410279261
14	25.776458833293	74.208665428533	0.014875738173985
14.2	25.816665600675	74.168507668341	0.014826730983816
14.48	25.896736830372	74.088411673105	0.014851496523714
14.872	26.001583893075	73.983532717823	0.014883389102619
15	26.034900658486	73.950205568114	0.014893773400081
15.2	26.01866834682	73.966505828715	0.014825824464807
15.48	26.105974864691	73.879166105952	0.01485902935649
15.872	26.207601794086	73.777503882542	0.014894323372296
16	26.239656726259	73.745437720107	0.014905553633538
16.2	26.184352478588	73.800824853555	0.014822667857429
16.48	26.278118088924	73.707019837107	0.01486207396941
16.872	26.379249289974	73.605850591557	0.014900118468656
17	26.410953723387	73.574134215327	0.01491206128608
17.2	26.326221354937	73.658962786097	0.014815858965721
17.48	26.426328305902	73.558811447971	0.014860246126492
17.872	26.528794055707	73.456305257474	0.014900686819123
18	26.560746804588	73.424339925174	0.01491327023816
18.2	26.45127850451	73.533917386687	0.014804108802891
18.48	26.558006474576	73.427140610046	0.014852915378546
18.872	26.663058370133	73.322046025278	0.014895604588613
19	26.695656786797	73.289434411988	0.014908801215067
19.2	26.563053221959	73.422160637623	0.014786140418015
19.48	26.676943325807	73.308217456844	0.014839217349547
19.872	26.785503210809	73.199612640036	0.014884149154414
20	26.819029200835	73.166072835385	0.014897963780229
20.2	26.662983899764	73.322255420973	0.014760679263471
20.48	26.784768401965	73.200413458497	0.014818139538424
20.872	26.897591247191	73.087543343658	0.014865409150532
21	26.932266183921	73.052853945052	0.014879871027434
21.2	26.751281063535	73.233992204874	0.014726731590365
21.48	26.88181089134	73.10340024721	0.01478886144946
21.872	26.999525346981	72.985636015648	0.014838637370903
22	27.035523186208	72.949623019523	0.014853794268994
22.2	26.827383638057	73.157932382942	0.014683979000835
22.48	26.967496652192	73.017752177571	0.014751170237663
22.872	27.090517206326	72.894679129697	0.014803663977606
23	27.127935958262	72.857244467491	0.014819574247061
23.2	26.890162678648	73.095204074536	0.014633246816816
23.48	27.04046569422	72.944828385384	0.014705920396837
23.872	27.168807461991	72.816431211523	0.014761326486428
24	27.207611847445	72.7776101115	0.01477804105557
24.2	26.936413535962	73.0489322893	0.014654174737351
24.48	27.092819151665	72.892446387177	0.014734461157772
24.872	27.218722355833	72.766488834462	0.014788809705116
25	27.256346791709	72.728848270141	0.014804938150161
25.2	26.952994470216	73.032400388389	0.014605141395025
25.48	27.116418892056	72.868894764801	0.014686343142902
25.872	27.244303770439	72.740953327818	0.01474290174336
26	27.282221609755	72.703018737961	0.014759652283971
26.2	26.949801723872	73.035635931204	0.014562344924571
26.48	27.119410209788	72.865940866582	0.014648923629546
26.872	27.247390217872	72.737902396342	0.014707385785674
27	27.285018389664	72.700257014635	0.014724595701568
