# Time [h]	AA [g/L]	MO_AcidoLCFA [g/L]	MO_Acetic [g/L]	MO_hydroM [g/L]	MO_Propionic [g/L]	MO_acetoM [g/L]	MO_ButyricValeric [g/L]	MO_AcidoMS [g/L]	MO_AcidoAA [g/L]	Nitrogen [g/L]	SUM [g/L]
9.2	2.8067725123375e-05	0.16557115582367	0.11977503259467	0.38845988934003	0.13030632329183	0.0062604020139318	0.22248257128165	0.79194241040881	0.1158613111091	0.0026695990180424	1.9433567626069
9.48	2.9663087993342e-05	0.16575075653639	0.11978323664474	0.38870760662536	0.13028833460477	0.0062636631029833	0.22243940679114	0.79176766221172	0.11583819960392	0.0020921427564466	1.9429606719655
9.872	3.3426862919518e-05	0.16596357899966	0.11978763578688	0.38899743481128	0.13026210678892	0.0062673030548808	0.22237847170449	0.79152300244024	0.11580569922951	0.0015306023836963	1.9425492620625
10	3.4742392487555e-05	0.16602546292628	0.11978763690713	0.38908090566969	0.1302533883855	0.0062683040778724	0.22235850732417	0.79144312542146	0.11579507154631	0.0013925942140275	1.9424397388649
10.2	3.4425366131489e-05	0.16611405944501	0.11978627103426	0.38919912733373	0.13023940468257	0.0062696892747586	0.22232705807441	0.79131821553782	0.11577831462388	0.0012177528843883	1.942284318257
10.48	3.6267555971669e-05	0.16622360636668	0.11978199148427	0.38934317455913	0.13021918633834	0.0062713187947565	0.22228260937027	0.79114329339698	0.11575465395424	0.001041610823449	1.9420977126441
10.872	3.9610725964162e-05	0.16635634199815	0.11977249215397	0.3895148369886	0.13019021572543	0.0062731409495688	0.22222002958358	0.79089847392956	0.11572142031831	0.00088962427415155	1.9418761866473
11	4.0604521054463e-05	0.16639631765747	0.11976879226904	0.3895660269926	0.13018067690668	0.0062736576468508	0.22219956369689	0.79081856442432	0.1157105641478	0.00085524662877988	1.9418100148915
11.2	3.8444155747558e-05	0.16645567799182	0.11976253676547	0.38964109280285	0.13016556852095	0.0062744028300303	0.22216740939296	0.79069348016349	0.11569347045068	0.00081392159936926	1.9417060046734
11.48	3.7810121448723e-05	0.16653360688736	0.11975304968604	0.38973809835759	0.1301440225918	0.0062753505166272	0.22212206210615	0.79051818729139	0.11566933907549	0.00077569068276081	1.9415672173167
11.872	3.8222155279622e-05	0.16663639443873	0.11973884216407	0.3898645851828	0.1301135085787	0.0062765559660641	0.22205833478801	0.79027283881211	0.11563545229894	0.00074611299627379	1.941380847381
12	3.8417782601606e-05	0.16666906651131	0.11973406354598	0.38990460578603	0.13010351182248	0.0062769313080654	0.22203750969862	0.79019275018355	0.11562438337176	0.00073984785680742	1.9413210878672
